Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-3.400000,-7.700000,-90.000000,bottom
"C2","GRM32EC72A106KE05L","GRM32EC72A106KE05L",0.000000,-7.700000,-90.000000,bottom
"C3","GRM32EC72A106KE05L","GRM32EC72A106KE05L",3.400000,-7.700000,-90.000000,bottom
"C4","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-13.600000,-7.700000,-90.000000,bottom
"C5","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-10.200000,-7.700000,-90.000000,bottom
"C6","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-6.800000,-7.700000,-90.000000,bottom
"C7","GRM32EC72A106KE05L","GRM32EC72A106KE05L",6.800000,-7.700000,-90.000000,bottom
"C8","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-18.200000,-3.500000,180.000000,bottom
"C9","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-17.000000,-7.700000,-90.000000,bottom
"C10","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-23.000000,0.000000,0.000000,bottom
"C11","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-18.200000,3.500000,180.000000,bottom
"C12","GRM32EC72A106KE05L","GRM32EC72A106KE05L",10.200000,-7.700000,-90.000000,bottom
"C13","GRM32EC72A106KE05L","GRM32EC72A106KE05L",13.600000,-7.700000,-90.000000,bottom
"C14","GRM32EC72A106KE05L","GRM32EC72A106KE05L",23.000000,0.000000,180.000000,bottom
"C15","GRM32EC72A106KE05L","GRM32EC72A106KE05L",18.200000,3.500000,0.000000,bottom
"C16","GRM32EC72A106KE05L","GRM32EC72A106KE05L",17.000000,-7.700000,-90.000000,bottom
"C17","GRM32EC72A106KE05L","GRM32EC72A106KE05L",18.200000,0.000000,0.000000,bottom
"C18","GRM32EC72A106KE05L","GRM32EC72A106KE05L",18.200000,-3.500000,0.000000,bottom
"C19","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-18.200000,0.000000,180.000000,bottom
"C21","GRM32EC72A106KE05L","GRM32EC72A106KE05L",-10.300000,6.050000,90.000000,bottom
"C24","100nF 100V","CL10B104KC8NNNC",0.320000,26.800000,0.000000,bottom
"C30","1uF 100V","GRM21BC72A105KE01L",5.000000,-2.200000,90.000000,bottom
"C37","CL31B225KCHSNNE","CL31B225KCHSNNE",-23.200000,3.400000,0.000000,bottom
"C38","CL10B222KB8NNNC","CL10B222KB8NNNC",-18.180000,14.000000,0.000000,bottom
"C39","GRM31CR61E476ME44L","GRM31CR61E476ME44L",-14.250000,7.300000,0.000000,bottom
"C40","GRM32ER71E226KE15L","GRM32ER71E226KE15L",15.550000,10.100000,180.000000,bottom
"C41","GRM32ER71E226KE15L","GRM32ER71E226KE15L",16.100000,17.959000,-90.000000,bottom
"C42","CC0402JRNPO9BN560","RC0402FR_0752K3L",-6.600000,11.650000,0.000000,bottom
