Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C21",GRM32EC72A106KE05L,20,GRM32EC72A106KE05L,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C21"
C20,CL31B105KCHNNNE,1,CL31B105KCHNNNE,C20
"C22, C28, C29, C30",GRM21BC72A105KE01L,4,1uF 100V,"C22, C28, C29, C30"
C23,CC0603KRX7R0BB473,1,47nF 100V,C23
"C24, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57",CL10B104KC8NNNC,12,100nF 100V,"C24, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57"
C26,GRM155R60J475ME87D,1,GRM155R60J475ME87D,C26
C37,CL31B225KCHSNNE,1,CL31B225KCHSNNE,C37
C38,CL10B222KB8NNNC,1,CL10B222KB8NNNC,C38
C39,GRM31CR61E476ME44L,1,GRM31CR61E476ME44L,C39
"C40, C41",GRM32ER71E226KE15L,2,GRM32ER71E226KE15L,"C40, C41"
C42,RC0402FR_0752K3L,1,CC0402JRNPO9BN560,C42
C43,CC0603JRX7R9BB104,1,Samsung Electro-Mechanics CL10B332KB8NNNC,C43
"CC1, CC2",FOLLON EFVH100ADA101M10C0,2,~,"CC1, CC2"
"CN3(OUT)1, CN3(OUT)2",XT30(2+2)PB-M.G.B,2,XT30(2+2)PB-M.G.B,"CN3(OUT)1, CN3(OUT)2"
D1,LTST-C190KGKT,1,LTST-C190KGKT,D1
D2,LTST_C191KRKT,1,LITEON LTST-C191KRKT,D2
FL1,BLM18AG601SN1D,1,BLM18AG601SN1D,FL1
"J1, J2",BM07B-SRSS-TB,2,BM07B-SRSS-TB(LF)(SN),"J1, J2"
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,J3
L1,VLS5045EX_680M,1,TDK VLS5045EX-680M,L1
"L2, L3",DFE252012PD_2R2M_P2,2,DFE252012PD-2R2M=P2,"L2, L3"
"Q1, Q2, Q3, Q4, Q5, Q6",FDMT80040DC_compact,6,FDMT80080DC,"Q1, Q2, Q3, Q4, Q5, Q6"
"R2, R5",RT0402DRE0710KL,2,RT0402DRE0710KL,"R2, R5"
"R3, R4",RC0402FR_0710KL,2,RC0402FR-0710KL,"R3, R4"
R6,YAGEO RC0603FR-07200KL,1,YAGEO RC0603FR-07200KL,R6
"R7, R8",RC0402JR-07200RL,2,200oh,"R7, R8"
"R9, R15",RT0603BRD07448KL,2,0603WAF4533T5E,"R9, R15"
R10,RC0402FR_0742K2L,1,RC0402FR-0742K2L,R10
R11,RC0402FR_0780K6L,1,RC0402FR-0780K6L,R11
R12,RC0402FR_0752K3L,1,RC0402FR-0752K3L,R12
R13,RC0805FR_07100KL,1,RC0805FR-07100KL,R13
R14,RT0603BRD0749K9L,1,RT0603BRD0749K9L,R14
"R16, R17, R18",WSLF25121L000FEA,3,WSLF25121L000FEA,"R16, R17, R18"
TP3,TestPoint_Pad_D1.0mm,1,+5V TestPoint,TP3
TP4,TestPoint_Pad_D1.0mm,1,+3.3V TestPoint,TP4
"TP5, TP6, TP10",TestPoint_Pad_D1.0mm,3,TP_Can_tx,"TP5, TP6, TP10"
TP7,TestPoint_Pad_D1.0mm,1,TP_MOSI,TP7
TP8,TestPoint_Pad_D1.0mm,1,TP_CLK,TP8
"TP9, TP12",TestPoint_Pad_D1.0mm,2,TP_CS,"TP9, TP12"
U1,STM32F446RCT6,1,STM32F446RET6,U1
U2,DRV8353SRTAR,1,DRV8353SRTAR,U2
U3,MCP2542FD_E_MF,1,MCP2542FD-E/MF,U3
U4,MA732GQ-Z,1,MA732GQ-Z,U4
"U5, U6",TPS629203DRLR,2,TPS629203DRLR,"U5, U6"
VR1,LM5164DDAR,1,LM5164DDAR,VR1
Y1,CSTNE8M00G550000R0,1,CSTNE8M00G550000R0,Y1
