Designator,Mid X,Mid Y,Rotation,Layer
C1,-3.400000,-7.700000,-90.000000,bottom
C2,0.000000,-7.700000,-90.000000,bottom
C3,3.400000,-7.700000,-90.000000,bottom
C4,-13.600000,-7.700000,-90.000000,bottom
C5,-10.200000,-7.700000,-90.000000,bottom
C6,-6.800000,-7.700000,-90.000000,bottom
C7,6.800000,-7.700000,-90.000000,bottom
C8,-18.200000,-3.500000,180.000000,bottom
C9,-17.000000,-7.700000,-90.000000,bottom
C10,-23.000000,0.000000,0.000000,bottom
C11,-18.200000,3.500000,180.000000,bottom
C12,10.200000,-7.700000,-90.000000,bottom
C13,13.600000,-7.700000,-90.000000,bottom
C14,23.000000,0.000000,180.000000,bottom
C15,18.200000,3.500000,0.000000,bottom
C16,17.000000,-7.700000,-90.000000,bottom
C17,18.200000,0.000000,0.000000,bottom
C18,18.200000,-3.500000,0.000000,bottom
C19,-18.200000,0.000000,180.000000,bottom
C21,-10.300000,6.050000,90.000000,bottom
C24,0.320000,26.800000,0.000000,bottom
C30,5.000000,-2.200000,90.000000,bottom
C37,-23.200000,3.400000,0.000000,bottom
C38,-18.180000,14.000000,0.000000,bottom
C39,-14.250000,7.300000,0.000000,bottom
C40,15.550000,10.100000,180.000000,bottom
C41,16.100000,17.959000,-90.000000,bottom
C42,-6.600000,11.650000,0.000000,bottom
C43,-14.050000,10.800000,-90.000000,bottom
C48,-0.910000,16.230000,90.000000,bottom
C52,17.980000,21.100000,0.000000,bottom
C53,13.700000,18.420000,90.000000,bottom
C54,3.000000,-2.400000,-90.000000,bottom
FL1,-2.915000,26.770000,0.000000,bottom
L1,-10.450000,11.450000,-90.000000,bottom
L2,11.650000,8.550000,90.000000,bottom
L3,19.810000,17.000000,180.000000,bottom
R3,1.330000,15.450000,0.000000,bottom
R9,-4.400000,10.860000,90.000000,bottom
R10,7.350000,12.190000,-90.000000,bottom
R11,8.550000,12.190000,-90.000000,bottom
R12,13.900000,13.668000,-90.000000,bottom
R13,-23.955000,6.375000,0.000000,bottom
R14,-23.010000,10.960000,90.000000,bottom
R15,-15.750000,11.950000,90.000000,bottom
U4,0.000000,0.000000,0.000000,bottom
U5,8.100100,9.650000,180.000000,bottom
U6,15.900000,14.000800,-90.000000,bottom
VR1,-19.450000,9.150000,90.000000,bottom
Y1,3.017500,22.570000,180.000000,bottom
C20,-12.000000,4.000000,90.000000,top
C22,-10.600000,25.600000,180.000000,top
C23,-7.180000,7.330000,0.000000,top
C26,-8.280000,15.650000,90.000000,top
C28,-8.008000,10.267000,-90.000000,top
C29,-6.008000,10.267000,-90.000000,top
C47,3.820000,26.800000,180.000000,top
C49,9.850000,11.975000,0.000000,top
C50,9.850000,10.550000,0.000000,top
C51,-11.100000,8.700000,90.000000,top
C55,-12.700000,15.325000,-90.000000,top
C56,-7.220000,29.500000,180.000000,top
C57,8.250000,23.960000,-90.000000,top
CC1,-19.000000,7.000000,90.000000,top
CC2,19.000000,7.000000,90.000000,top
CN3(OUT)1,-32.000000,0.000000,90.000000,top
CN3(OUT)2,32.000000,0.000000,90.000000,top
D1,-17.190000,15.805000,90.000000,top
D2,-15.590000,15.750000,90.000000,top
H1,-14.500000,-24.000000,0.000000,top
H2,0.000000,-24.000000,0.000000,top
H3,14.500000,-24.000000,0.000000,top
H4,23.000000,23.500000,0.000000,top
H5,-23.000000,23.500000,0.000000,top
H6,23.000000,-23.500000,0.000000,top
H7,-23.000000,-23.500000,0.000000,top
J1,-16.000000,28.000000,30.000000,top
J2,16.000000,28.000000,-30.000000,top
J3,-20.550000,19.115000,0.000000,top
Q1,-24.500000,-5.300000,90.000000,top
Q2,-14.500000,-11.000000,-90.000000,top
Q3,5.000000,-15.000000,90.000000,top
Q4,-5.000000,-15.000000,-90.000000,top
Q5,14.500000,-11.000000,90.000000,top
Q6,24.500000,-5.300000,-90.000000,top
R2,-14.175000,15.665000,90.000000,top
R4,5.621200,10.660000,180.000000,top
R5,-7.385000,31.220000,0.000000,top
R6,-27.100000,8.425000,90.000000,top
R7,-17.190000,18.482000,-90.000000,top
R8,-15.590000,18.518000,-90.000000,top
R16,-12.000000,-2.500000,180.000000,top
R17,0.315400,-6.844200,180.000000,top
R18,13.000000,-2.500000,0.000000,top
TP3,21.025000,19.850000,0.000000,top
TP4,-14.700000,22.900000,0.000000,top
TP5,14.825000,21.975000,0.000000,top
TP6,12.550000,20.900000,0.000000,top
TP7,-9.600000,18.950000,0.000000,top
TP8,-11.850000,22.225000,0.000000,top
TP9,-9.600000,23.000000,0.000000,top
TP10,-11.850000,20.000000,0.000000,top
TP12,6.800000,6.175000,0.000000,top
U1,0.100000,19.200000,-90.000000,top
U2,0.000000,7.000000,45.000000,top
U3,17.625001,18.200000,-90.000000,top
