"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C21";"GRM32EC72A106KE05L";20;"GRM32EC72A106KE05L";;;
2;"C20";"CL31B105KCHNNNE";1;"CL31B105KCHNNNE";;;
3;"C22, C28, C29, C30";"GRM21BC72A105KE01L";4;"GRM21BC72A105KE01L";;;
4;"C23";"CC0603KRX7R0BB473";1;"CC0603KRX7R0BB473";;;
5;"C24, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57";"CL10B104KC8NNNC";12;"CL10B104KC8NNNC";;;
6;"C26";"GRM155R60J475ME87D";1;"GRM155R60J475ME87D";;;
7;"C37";"CL31B225KCHSNNE";1;"CL31B225KCHSNNE";;;
8;"C38";"CL10B222KB8NNNC";1;"CL10B222KB8NNNC";;;
9;"C39";"GRM31CR61E476ME44L";1;"GRM31CR61E476ME44L";;;
10;"C40, C41";"GRM32ER71E226KE15L";2;"GRM32ER71E226KE15L";;;
11;"C42";"RC0402FR_0752K3L";1;"CC0402JRNPO9BN560";;;
12;"C43";"CC0603JRX7R9BB104";1;"CL10B332KB8NNNC";;;
13;"CC1, CC2";"FOLLON EFVH100ADA101M10C0";2;"EFVH100ADA101M10C0";;;
14;"CN3(OUT)1, CN3(OUT)2";"XT30(2+2)PB-M.G.B";2;"XT30(2+2)PB-M.G.B";;;
15;"D1";"LTST-C190KGKT";1;"LTST-C190KGKT";;;
16;"D2";"LTST_C191KRKT";1;"LTST-C191KRKT";;;
17;"FL1";"BLM18AG601SN1D";1;"BLM18AG601SN1D";;;
18;"J1";"JST_BM07B-GHS-TBT";1;"BM07B-GHS-TBT";;;
19;"J2";"BM06B-GHS-TBT";1;"BM06B-GHS-TBT(LF)(SN)";;;
20;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
21;"L1";"VLS5045EX_680M";1;"VLS5045EX-680M";;;
22;"L2, L3";"DFE252012PD_2R2M_P2";2;"DFE252012PD-2R2M=P2";;;
23;"Q1, Q2, Q3, Q4, Q5, Q6";"FDMT80040DC_compact";6;"FDMT80080DC";;;
24;"R2, R5";"RT0402DRE0710KL";2;"RT0402DRE0710KL";;;
25;"R3, R4";"RC0402FR_0710KL";2;"RC0402FR-0710KL";;;
26;"R6";"YAGEO RC0603FR-07200KL";1;"RT0603DRD07200KL";;;
27;"R7, R8";"RC0402JR-07200RL";2;"RC0402JR-07200RL";;;
28;"R9, R15";"RT0603BRD07448KL";2;"ARG03BTC4533";;;
29;"R10";"RC0402FR_0742K2L";1;"RC0402FR-0742K2L";;;
30;"R11";"RC0402FR_0780K6L";1;"RC0402FR-0780K6L";;;
31;"R12";"RC0402FR_0752K3L";1;"RC0402FR-0752K3L";;;
32;"R13";"RC0805FR_07100KL";1;"RC0805FR-07100KL";;;
33;"R14";"RT0603BRD0749K9L";1;"RT0603BRD0749K9L";;;
34;"R16, R17, R18";"WSLF25121L000FEA";3;"WSLF25121L000FEA";;;
35;"TP3";"TestPoint_Pad_D1.0mm";1;"+5V TestPoint";;;
36;"TP4";"TestPoint_Pad_D1.0mm";1;"+3.3V TestPoint";;;
37;"TP5, TP6";"TestPoint_Pad_D1.0mm";2;"TP_Can_tx";;;
38;"TP12";"TestPoint_Pad_D1.0mm";1;"TP_CS";;;
39;"U1";"STM32F446RCT6";1;"STM32F446RET6";;;
40;"U2";"DRV8353SRTAR";1;"DRV8353SRTAR";;;
41;"U3";"MCP2542FD_E_MF";1;"MCP2542FD-E/MF";;;
42;"U4";"MA732GQ-Z";1;"MA732GQ-Z";;;
43;"U5, U6";"TPS629203DRLR";2;"TPS629203DRLR";;;
44;"VR1";"LM5164DDAR";1;"LM5164DDAR";;;
45;"Y1";"CSTNE8M00G550000R0";1;"CSTNE8M00G550000R0";;;
